Country,City,Latitude,Longitude,ID
Kenya,Nairobi,-1.28333,36.81667,251
Indonesia,Jakarta,-6.21462,106.84513,310
Australia,Innisfail,-17.52209,146.03102,417
Azerbaijan,Baku,40.37767,49.89201,18
Australia,Sale,34.0531,-6.79846,490
Sri Lanka,Nuwara Eliya,6.97078,80.78286,343
Australia,Rosebery,-41.77941,145.53825,1727
Viet Nam,Đắk Lắk,12.6667,108.05,196
Ethiopia,Assosa,10.16667,34.52,1918
Papua New Guinea,Vanimo,-2.68372,141.30196,1432
Mongolia,Erdenet,49.03333,104.08333,1149
Libya (State of),Benghazi,32.11486,20.06859,1182
Ghana,Axim,4.86641,-2.24181,2968
Latvia,Riga,56.946,24.10589,175
Saudi Arabia,Tabouk,12.0935,-12.8759,697
Iraq,Amarah,31.83561,47.14483,1463
Iran (Islamic Republic of),Esfahan,35.24735,50.1286,935
Greece,Mytilini,39.10772,26.55529,2285
France,Mende,44.52161,3.49978,3571
Ghana,Sefwi Bekwai,6.19583,-2.32106,2978
Nicaragua,Chinandega,12.62937,-87.13105,284
Poland,Krakow,50.06143,19.93658,27
Australia,Elizabeth,40.66399,-74.2107,397
Belgium,Asse,50.91011,4.19836,2314
Belgium,Haacht,50.97737,4.63777,2490
Lesotho,Qacha's Nek,-30.11537,28.68936,1334
Mongolia,Choibalsan,48.07257,114.53264,1152
Spain,Cartagena,10.39972,-75.51444,2178
Belgium,Steenokkerzeel,50.91851,4.50989,2785
Dominican Republic,La Romana,18.42278,-68.96639,593
Peru,Cajamarca,-7.16378,-78.50027,107
Viet Nam,Phú Yên,13.0883,109.3045,249
Suriname,Albina,5.49788,-54.05522,2081
Papua New Guinea,Daru,-9.07786,143.20892,1426
Australia,Noarlunga,-35.18209,138.50137,470
United Kingdom of Great Britain and Northern Ireland,Bala,44.88389,22.83333,1896
Bosnia and Herzegovina,Tuzla,44.53842,18.66709,15
Botswana,Sir Seretse Khama Airport,-24.55583,25.92306,1547
Australia,Tom Price,-22.6939,117.7931,1260
Belgium,Riemst,50.80995,5.60131,2731
United Kingdom of Great Britain and Northern Ireland,Jersey,33.71567,-83.79879,1372
Romania,Sulina,45.15564,29.65403,2097
Israel,Eilat,29.55805,34.94821,46
Australia,Mount Barker,-35.06667,138.86667,1699
Colombia,Tumaco,1.79112,-78.79275,888
Portugal,Santa Cruz das Flores,39.45782,-31.12989,2226
Chad,Faya-Largeau,17.9257,19.10428,1173
Iraq,Karbala,32.61603,44.02488,1465
France,Privas,44.735,4.59918,3534
Russian Federation,Abakan,53.71556,91.42917,1108
India,Kodaikanal,10.23925,77.48932,1600
Belgium,Bouillon,49.79324,5.06703,2363
Libya (State of),Ghadames,30.13366,9.50072,1194
France,Le Puy-en-Velay,45.04366,3.88523,3567
Fiji,Suva,-18.13683,178.42531,93
Viet Nam,Kon Tum,14.35,108.0,226
Spain,Palma de Mallorca,18.72917,-91.65694,1236
Belgium,Oud-Heverlee,50.83522,4.66421,2696
Belgium,Antwerp,51.22047,4.40026,2308
Saint Lucia,Castries,13.9957,-61.00614,1222
Kenya,Nyeri,-0.42013,36.94759,2949
Belgium,Bievre,49.94085,5.01591,2350
Russian Federation,Belgorod,50.61074,36.58015,1021
France,Dijon,47.31667,5.01667,3547
Ukraine,Uzhhorod,48.6242,22.2947,2942
India,Bareilly,28.36678,79.43167,1570
France,Versailles,48.80359,2.13424,3596
Cyprus,Paralimni,35.03945,33.98181,1884
United States,Mississippi,32.741646,-89.678696,3823
